,id,Cause,Object,Occupation
221,170151468,Caught in/between Objects,no_object,no_occupation
222,170355903,Electrocution,power-line,laborer
223,170664080,Electrocution,power-line,worker
224,200644243,Struck By Moving Objects,ash-cloud,coworker
225,200032837,Struck By Moving Objects,no_object,no_occupation
226,201330859,Caught in/between Objects,no_object,damper
227,200540615,Struck By Moving Objects,steam,no_occupation
228,200376671,Struck By Moving Objects,vehicle,manager
229,202588745,Struck By Moving Objects,dump-truck,contractor
230,202715835,Electrocution,illness,subcontractor
231,202654653,Struck By Moving Objects,asphalt,lugger
232,200361640,Falls,no_object,coworker
233,202651899,Caught in/between Objects,buggy,carpenter
234,202588026,Struck By Moving Objects,hot-asphalt,contractor
235,201078839,Falls,truck,inspector
236,202544821,Falls,forearm,contractor
237,202544649,Struck By Moving Objects,asphalt,planter
238,202720694,Caught in/between Objects,house,excavator
239,200515906,Caught in/between Objects,no_object,contractor
240,200923621,Struck By Moving Objects,trench,sewer
241,202716692,Other,no_object,carpenter
242,201128675,Caught in/between Objects,equipment,coworker
243,200881811,Falls,antennae-tower,no_occupation
244,202489019,Caught in/between Objects,winch-hook,no_occupation
245,202539086,Falls,no_object,ironworker
246,202466074,Falls,rail,painter
247,201043478,Falls,steel-protrusion,ironworker
248,202447447,Caught in/between Objects,no_object,laborer
249,200623569,Struck By Moving Objects,bulldozer,no_occupation
250,201370954,Falls,hook,no_occupation
251,201352812,Falls,lift,no_occupation
252,200997286,Electrocution,no_object,laborer
253,200823409,Struck By Moving Objects,plug-receptacle,coworker
254,200202497,Falls,no_object,coworker
255,201082823,Struck By Moving Objects,attachment-plug,contractor
256,171011034,Electrocution,power-line,no_occupation
257,201160819,Electrocution,power-line,no_occupation
258,202493722,Falls,door,coworker
259,200375574,Falls,opening,gochnauer
260,202126702,Struck By Moving Objects,no_object,technician
261,202491072,Falls,no_object,no_occupation
262,202468450,Falls,no_object,no_occupation
263,202586095,Falls,no_object,contractor
264,200462273,Struck By Moving Objects,spraying-insulation,no_occupation
265,200603603,Struck By Moving Objects,hole,no_occupation
266,201079886,Electrocution,no_object,subcontractor
267,202588703,Struck By Moving Objects,equipment,miller
268,202422382,Struck By Moving Objects,frame,no_occupation
269,202674651,Caught in/between Objects,tool,coworker
270,201497278,Struck By Moving Objects,employer,worker
271,201088358,Caught in/between Objects,drill-rig,no_occupation
272,202251310,Caught in/between Objects,machine,no_occupation
273,200051936,Struck By Moving Objects,machine,foreman
274,202359410,Struck By Moving Objects,truck,no_occupation
275,202721387,Electrocution,highway-maintenance,driver
276,200376275,Caught in/between Objects,automobile,driver
277,201680212,Caught in/between Objects,avalanche,no_occupation
278,202546537,Falls,no_object,contractor
279,201130077,Falls,no_object,coworker
280,202692133,Electrocution,skill,suffer
281,202546172,Caught in/between Objects,wood-beam,contractor
282,201079522,Falls,ladder,carpenter
283,202658480,Falls,ladder,helper
284,202658522,Caught in/between Objects,no_object,contractor
285,170836167,Struck By Moving Objects,lift,carpenter
286,200534394,Falls,door,telehandler
287,202542577,Caught in/between Objects,loader-roll,contractor
288,202490520,Struck By Moving Objects,vehicle,contractor
289,201075173,Caught in/between Objects,door-frame,carpenter
290,202362182,Falls,dirt,no_occupation
291,200678241,Caught in/between Objects,roller-machine,no_occupation
292,170784714,Struck By Moving Objects,trailer,coworker
293,202531893,Caught in/between Objects,bucket,coworker
294,201044989,Collapse of object,wi,foreman
295,202674842,Struck By Moving Objects,excavator,excavator
296,202654430,Struck By Moving Objects,trench,no_occupation
297,200515716,Struck By Moving Objects,backhoe,excavator
298,200535300,Struck By Moving Objects,backhoe,no_occupation
299,200981231,Struck By Moving Objects,backhoe,no_occupation
300,202522843,Struck By Moving Objects,outrigger,no_occupation
301,202544201,Struck By Moving Objects,backhoe-bucket,coworker
302,202656617,Struck By Moving Objects,trench,laborer
303,200075026,Struck By Moving Objects,steel-pipe,no_occupation
304,201496478,Struck By Moving Objects,backhoe,contractor
305,201636842,Struck By Moving Objects,outrigger,no_occupation
306,201407780,Struck By Moving Objects,backhoe,laborer
307,201147311,Struck By Moving Objects,backhoe,sewer
308,201037645,Falls,compactor,driver
309,201042124,Struck By Moving Objects,backhoe,stabilizer
310,201572641,Struck By Moving Objects,backhoe,no_occupation
311,200642809,Struck By Moving Objects,backhoe,loader
312,201066792,Struck By Moving Objects,backhoe,foreman
313,170241343,Struck By Moving Objects,backhoe,sewer
314,202250940,Struck By Moving Objects,backhoe,driver
315,200782134,Struck By Moving Objects,backhoe-bucket,driver
316,200351823,Electrocution,power-line,no_occupation
317,171059405,Electrocution,power-line,no_occupation
318,201077229,Caught in/between Objects,base,no_occupation
319,202220810,Struck By Moving Objects,backhoe-loader,laborer
320,201639689,Falls,mailbox,no_occupation
321,201639671,Struck By Moving Objects,no_object,no_occupation
322,201773421,Struck By Moving Objects,backhoe,no_occupation
323,202476131,Struck By Moving Objects,backhoe,sullymiller
324,200812766,Struck By Moving Objects,strike,worker
325,200357218,Struck By Moving Objects,excavator-bucket,excavator
326,202079711,Struck By Moving Objects,excavator-bucket,sewer
327,202288916,Caught in/between Objects,backhoe,loader
328,202448510,Struck By Moving Objects,backhoe-bucket,plumber
329,202014569,Struck By Moving Objects,bucket,no_occupation
330,201881232,Struck By Moving Objects,excavator-bucket,excavator
331,202461968,Struck By Moving Objects,backhoe-bucket,no_occupation
332,200075471,Struck By Moving Objects,dump,coworker
333,202654745,Caught in/between Objects,non,former
334,200981330,Struck By Moving Objects,truck,no_occupation
335,201122546,Struck By Moving Objects,baggage-conveyor,no_occupation
336,202479499,Falls,ladder,contractor
337,202471926,Electrocution,ballast,no_occupation
338,202560843,Electrocution,ballast,no_occupation
339,200713238,Struck By Moving Objects,fixture,no_occupation
340,201115854,Struck By Moving Objects,store-sign,coworker
341,200626505,Falls,river,no_occupation
342,201581097,Struck By Moving Objects,bow-spud,no_occupation
343,200220333,Struck By Moving Objects,barge,no_occupation
344,201129491,Falls,no_object,supervisor
345,202522934,Caught in/between Objects,no_object,coworker
346,201128840,Falls,eployee,inspector
347,202492815,Caught in/between Objects,rail,foreman
348,201354115,Struck By Moving Objects,motor-vehicle,driver
349,200758993,Falls,no_object,owner
350,202625265,Struck By Moving Objects,barrier,no_occupation
351,202574216,Struck By Moving Objects,excavator,excavator
352,200358547,Falls,no_object,no_occupation
353,200625507,Struck By Moving Objects,truck,coworker
354,202356853,Caught in/between Objects,battery,no_occupation
355,170830681,Struck By Moving Objects,battery,manager
356,202509998,Falls,beam-erector,coworker
357,202561726,Falls,steel,no_occupation
358,202658209,Struck By Moving Objects,steel,worker
359,202675054,Falls,no_object,no_occupation
360,200923605,Other,elevator-shaft,no_occupation
361,202654752,Falls,no_object,coworker
362,201079639,Caught in/between Objects,no_object,no_occupation
363,201498011,Falls,estimator,salesman
364,200923563,Struck By Moving Objects,steel-beam,laborer
365,202554952,Falls,beam,framer
366,201106028,Caught in/between Objects,eye,no_occupation
367,202657409,Falls,swarm,plasterer
368,200776508,Other,bee,no_occupation
369,201489044,Falls,ladder,no_occupation
370,202345492,Falls,no_object,coworker
371,201104262,Caught in/between Objects,trench-cave,contractor
372,201562857,Falls,pipe,contractor
373,201072121,Struck By Moving Objects,bending-machine,supervisor
374,202588695,Caught in/between Objects,no_object,shutter
375,201635984,Falls,ladder,no_occupation
376,201167095,Caught in/between Objects,no_object,subcontractor
377,171011828,Caught in/between Objects,sewer,laborer
378,300785862,Struck By Moving Objects,no_object,no_occupation
379,170205801,Falls,metal-shield,foreman
380,200990976,Other,dust-avalanche,laborer
381,170366165,Caught in/between Objects,furnace,no_occupation
382,170384283,Struck By Moving Objects,furnace-release,excavator
383,200361699,Caught in/between Objects,rock,mechanic
384,315952622,Caught in/between Objects,no_object,worker
385,201923596,Other,no_object,no_occupation
386,200650794,Struck By Moving Objects,machine,no_occupation
387,201034824,Falls,scaffold,coworker
388,170856520,Struck By Moving Objects,no_object,farther
389,202658670,Caught in/between Objects,solution,coworker
390,201931201,Other,chlorine,contractor
391,200372118,Struck By Moving Objects,no_object,sewer
392,202539102,Caught in/between Objects,hopper,coworker
393,202486072,Falls,water,impeller
394,201088978,Struck By Moving Objects,steamer,steamer
395,202484754,Falls,utility-pole,technician
396,201088671,Electrocution,panel-box,no_occupation
397,202351904,Electrocution,power-line,no_occupation
398,202557476,Falls,stone,supervisor
399,202546214,Falls,ladder,subcontractor
400,201510799,Caught in/between Objects,support,no_occupation
401,200926160,Struck By Moving Objects,silica,doctor
402,202568721,Other,trench,no_occupation
403,202023826,Struck By Moving Objects,steel-pole,foreman
404,201345493,Falls,no_object,contractor
405,201128113,Caught in/between Objects,tire,foreman
406,200742328,Struck By Moving Objects,tire,loader
407,202657912,Electrocution,saw,coworker
408,201079704,Electrocution,cut,helper
409,202716684,Falls,foam,no_occupation
410,201024296,Caught in/between Objects,fingertip,coworker
411,201186228,Struck By Moving Objects,saw,carpenter
412,202554655,Falls,no_object,owner
413,202658126,Fires and Explosion,gas,supervisor
414,200776334,Falls,picket-fence,no_occupation
415,202490157,Falls,scaf,no_occupation
416,311217293,Struck By Moving Objects,boiler,sewer
417,201262433,Struck By Moving Objects,carbon-monoxide,supervisor
418,201363322,Struck By Moving Objects,no_object,no_occupation
419,202657896,Falls,no_object,framer
420,200926418,Caught in/between Objects,bridge-crane,no_occupation
421,202531463,Falls,no_object,no_occupation
422,202493458,Falls,no_object,spangler
423,200041937,Struck By Moving Objects,no_object,no_occupation
424,202713681,Falls,scaffold,baker
425,201262334,Falls,beam,worker
426,200023216,Falls,protection,ironworker
427,201106853,Struck By Moving Objects,steel,no_occupation
428,201117991,Falls,form,carpenter
429,201504784,Falls,no_object,carpenter
430,202344107,Struck By Moving Objects,no_object,prior
431,200261709,Falls,ladder,no_occupation
432,201121845,Falls,nut,worker
433,958439,Falls,steel,worker
434,170738140,Falls,no_object,no_occupation
435,644179,Falls,girder,no_occupation
436,894147,Falls,no_object,no_occupation
437,14494074,Falls,ladder,no_occupation
438,14570493,Falls,steel,no_occupation
439,14214225,Struck By Moving Objects,steel,no_occupation
440,14259493,Falls,transmission-component,no_occupation
441,200823649,Caught in/between Objects,ignite,no_occupation
442,810101,Electrocution,power-line,conductor
443,202675336,Struck By Moving Objects,no_object,alter
444,202532156,Caught in/between Objects,no_object,coworker
445,201129822,Caught in/between Objects,crane-part,mechanic
446,202637567,Electrocution,water-pipeline,excavator
447,200376366,Struck By Moving Objects,truck,foreman
448,202570339,Struck By Moving Objects,basket,coworker
449,200361152,Caught in/between Objects,no_object,no_occupation
450,201088929,Caught in/between Objects,bucket,lineman
451,200830750,Struck By Moving Objects,no_object,laborer
452,200711158,Struck By Moving Objects,bucket-truck,controller
453,14422398,Struck By Moving Objects,no_object,no_occupation
454,14394456,Struck By Moving Objects,crane,no_occupation
455,606764,Struck By Moving Objects,crane,carpenter
456,14542047,Struck By Moving Objects,standing-rope,no_occupation
457,14554208,Struck By Moving Objects,crane,ironworker
458,14511463,Struck By Moving Objects,crane,no_occupation
459,14456982,Caught in/between Objects,spool,no_occupation
460,200041994,Electrocution,power-line,no_occupation
461,200626489,Struck By Moving Objects,base,no_occupation
462,202542502,Struck By Moving Objects,stairway,driver
463,200103687,Electrocution,power-line,puller
464,200376044,Struck By Moving Objects,machine,laborer
465,201044898,Struck By Moving Objects,rock,groundwater
466,200742674,Struck By Moving Objects,boring-machine,no_occupation
467,202080453,Struck By Moving Objects,no_object,no_occupation
468,201344652,Caught in/between Objects,rotating-borer,borer
